Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
135,Duncan Robinson,31,DET,SF,18,18,31.9,4.1,9.2,0.446,3.1,7.3,0.417,1.1,1.9,0.559,0.611,1.2,1.6,0.786,0.4,2.4,2.8,1.9,0.9,0.3,0.7,2.6,12.5,,robindu01
136,Saddiq Bey,26,NOP,SF,18,10,27.6,4.4,10.3,0.425,2,5.5,0.364,2.4,4.8,0.494,0.522,1.6,2.4,0.674,1.8,3.8,5.6,2.2,1,0.1,0.6,1.2,12.4,,beysa01
137,Dennis Schröder,32,SAC,PG,18,12,29.2,4.6,11.5,0.396,1.5,4.5,0.333,3.1,7,0.437,0.461,1.8,2.3,0.78,0.4,3.2,3.7,6,0.8,0.2,1.9,1.8,12.4,,schrode01
138,Kel'el Ware,21,MIA,C,19,14,25,4.8,9.1,0.529,1.1,2.5,0.417,3.7,6.5,0.573,0.587,1.7,2.2,0.805,3.3,7.6,10.9,0.6,1.1,1.4,1,1.9,12.4,,wareke01
139,Wendell Carter Jr.,26,ORL,C,18,18,29.4,4.1,7.6,0.54,1.2,2.7,0.449,2.9,4.9,0.591,0.62,2.8,3.5,0.81,2.9,4.6,7.4,1.9,0.6,0.7,1.9,3.9,12.3,,cartewe01
140,Tre Jones,26,CHI,PG,14,11,28.6,3.9,8,0.482,0.4,1.5,0.286,3.4,6.5,0.527,0.509,4.1,4.9,0.841,0.8,2.9,3.7,5.3,1.7,0.2,1.6,1.9,12.3,,jonestr01
141,Derik Queen,21,NOP,C,19,7,23.7,4.7,9.5,0.492,0.1,0.9,0.118,4.6,8.6,0.53,0.497,2.8,3.6,0.779,1.9,4.3,6.3,3.6,1.1,0.8,2.3,3.1,12.3,,queende01
142,Ausar Thompson,23,DET,SF,14,13,28.5,5.1,10.2,0.503,0.4,1.1,0.333,4.8,9.1,0.523,0.521,1.6,3.1,0.523,1.8,4,5.8,2.9,1.6,0.9,1.2,2.7,12.3,,thompau01
143,Noah Clowney,21,BRK,PF,17,11,27.2,3.6,9,0.399,2.1,6.4,0.33,1.5,2.6,0.568,0.516,2.9,3.7,0.794,0.6,2.9,3.5,1.6,0.7,0.6,1.6,2.2,12.2,,clownno01
144,Isaiah Hartenstein,27,OKC,C,19,19,27.8,5.3,7.8,0.671,0,0.2,0,5.3,7.6,0.69,0.671,1.7,2.6,0.64,3.3,7.4,10.7,3.4,1.3,0.8,2.1,2.8,12.2,,harteis01
